molecule_chembl_id,kinase,IC50,units,canonical_smiles,pIC50
CHEMBL3694408,CDK9,0.005,nM,COc1ccc(F)cc1-c1cc(NC(=O)COc2ccc(Cl)cn2)ncn1,11.301029995663981
CHEMBL334285,CDK4,0.007,nM,O=C(Nc1cccc2c1C(=O)c1c(-c3ccc(C(=O)N4CCNCC4)s3)n[nH]c1-2)NN1CCOCC1,11.154901959985743
CHEMBL3694406,CDK9,0.015,nM,COc1ccc(F)cc1-c1cc(NC(=O)Cc2cccnc2)ncn1,10.823908740944319
CHEMBL3694400,CDK9,0.018,nM,COc1ccc(F)cc1-c1cc(NC(=O)C2CCCNC2)ncn1,10.744727494896694
CHEMBL3694402,CDK9,0.019,nM,COc1ccccc1-c1cc(NC(=O)C2CCC(=O)NC2)ncn1,10.721246399047171
CHEMBL151546,CDK4,0.026,nM,NC(=O)Nc1cccc2c1C(=O)c1c(-c3csc(Cl)c3)n[nH]c1-2,10.585026652029182
CHEMBL3694407,CDK9,0.029,nM,COc1ccc(F)cc1-c1cc(NC(=O)Cc2ccncc2)ncn1,10.537602002101044
CHEMBL3694401,CDK9,0.039,nM,COc1cccc(F)c1-c1cc(NC(=O)C2CCCNC2)ncn1,10.4089353929735
CHEMBL5841163,CDK4,0.07,nM,CCN1CCN(c2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,10.154901959985743
CHEMBL6170958,CDK9,0.077,nM,CCOc1ccc(/C=C2/C(=O)N(c3ccc(Cl)cc3)N=C2C)cc1,10.113509274827518
CHEMBL148580,CDK4,0.08,nM,COc1ccc(-c2[nH]nc3c2C(=O)c2c(NC(=O)CN4CCN(C(=N)N)CC4)cccc2-3)cc1,10.096910013008056
CHEMBL6064669,CDK4,0.08,nM,CCN1CCC(c2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,10.096910013008056
CHEMBL194540,CDK1,0.1,nM,NS(=O)(=O)c1ccc(Nc2ncc(C(F)(F)F)c(Nc3ccc4[nH]cnc4c3)n2)cc1,10.0
CHEMBL5765852,CDK4,0.1,nM,CCN1CCC(COc2ccc(Nc3cc(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)c(F)cn3)nc2)CC1,10.0
CHEMBL5762122,CDK6,0.1,nM,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5c(c4)N(C(C)C)CCO5)n3)nc2)CC1,10.0
CHEMBL5941236,CDK4,0.11,nM,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc(OCC6CCN(CCCO)CC6)cn5)ncc4F)cc3n21,9.958607314841775
CHEMBL6043427,CDK4,0.11,nM,CN1CCC(COc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,9.958607314841775
CHEMBL3694404,CDK9,0.116,nM,COc1ccccc1-c1cc(NC(=O)c2ccc(C)c(NS(C)(=O)=O)c2)ncn1,9.935542010773082
CHEMBL5748748,CDK4,0.12,nM,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc6c(n5)CCN(C(=O)CO)C6)ncc4F)cc3n21,9.920818753952375
CHEMBL3698644,CDK4,0.13,nM,c1cc2c3cnc(Nc4cnc(N5CCNCC5)nc4)nc3n(C3CCCC3)c2cn1,9.886056647693163
CHEMBL5981421,CDK4,0.16,nM,CCN1CCC(COc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,9.795880017344075
CHEMBL5786556,CDK4,0.18,nM,CN(C)[C@H]1CCN(c2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)C1,9.744727494896694
CHEMBL5939038,CDK4,0.2,nM,CN(C)[C@H]1CCN(C(=O)c2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)C1,9.698970004336019
CHEMBL5751717,CDK6,0.2,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCNCC5)cn4)ncc3F)cc21,9.698970004336019
CHEMBL4453997,CDK4,0.2,nM,COc1ccc(-c2n[nH]c3c2C(=O)c2c(C=O)cccc2-3)cc1,9.698970004336019
CHEMBL5751717,CDK4,0.2,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCNCC5)cn4)ncc3F)cc21,9.698970004336019
CHEMBL5915046,CDK4,0.25,nM,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc(OC6CCN(CCO)CC6)cn5)ncc4F)cc3n21,9.602059991327963
CHEMBL5763252,CDK4,0.25,nM,CN1CCC(OCc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,9.602059991327963
CHEMBL5977920,CDK4,0.26,nM,CN1CCC(Oc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,9.585026652029182
CHEMBL526110,CDK4,0.3,nM,O=[N+]([O-])c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,9.522878745280337
CHEMBL5882717,CDK6,0.3,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C(=O)CN(C)C)CC5)cn4)ncc3F)cc21,9.522878745280337
CHEMBL526110,CDK2,0.3,nM,O=[N+]([O-])c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,9.522878745280337
CHEMBL3698653,CDK4,0.32,nM,c1ccc(-n2c3cnccc3c3cnc(Nc4ccc(N5CCNCC5)cc4)nc32)cc1,9.494850021680094
CHEMBL317703,CDK2,0.33,nM,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc([N+](=O)[O-])cc3)[nH]n2)cc1,9.481486060122112
CHEMBL321517,CDK2,0.34,nM,Nc1ccc(-c2cc(Nc3ccc(S(N)(=O)=O)cc3)[nH]n2)cc1,9.468521082957745
CHEMBL3698653,CDK6,0.36,nM,c1ccc(-n2c3cnccc3c3cnc(Nc4ccc(N5CCNCC5)cc4)nc32)cc1,9.443697499232712
CHEMBL3698657,CDK6,0.41,nM,c1ccc2c(c1)c1cnc(Nc3ccc(N4CCNCC4)cc3)nc1n2C1CCCCC1,9.387216143280265
CHEMBL3698639,CDK4,0.45,nM,c1cc2c3cnc(Nc4ccc(N5CCNCC5)cc4)nc3n(C3CCCC3)c2cn1,9.346787486224656
CHEMBL4777844,CDK9,0.495,nM,CN(C)C/C=C/C(=O)N1CCC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)CC1,9.30539480106643
CHEMBL5758578,CDK4,0.5,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C(=O)N5CCC(O)CC5)c(F)c4)ncc3F)cc21,9.301029995663981
CHEMBL5865305,CDK4,0.5,nM,CC(=O)N1CCN(c2ccc(Nc3ncc(F)c(-c4cc(F)c5c(c4)N(C(C)C)CCO5)n3)nc2)CC1,9.301029995663981
CHEMBL5882717,CDK4,0.5,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C(=O)CN(C)C)CC5)cn4)ncc3F)cc21,9.301029995663981
CHEMBL476577,CDK2,0.5,nM,CC(=O)NC1CN(c2ccc(Nc3ncc(F)c(-c4cnc(C)n4C(C)C)n3)cc2)C1,9.301029995663981
CHEMBL1964259,CDK2,0.54,nM,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)NCCOCCO)cc1,9.267606240177031
CHEMBL4209329,CDK4,0.6,nM,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc(CN6CCNCC6)cn5)ncc4F)cc3n21,9.221848749616356
CHEMBL4211828,CDK4,0.6,nM,CC(C)N1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)CC6)n3)nc2)CC1,9.221848749616356
CHEMBL5892046,CDK6,0.6,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCN(C(=O)CN(C)C)CC5)cn4)ncc3F)cc21,9.221848749616356
CHEMBL5811976,CDK4,0.7,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CNCCO4)C5)ncc3F)cc2n1C(C)(C)C,9.154901959985743
CHEMBL248713,CDK1,0.7,nM,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(F)ccc5[nH]4)c3c2)c1,9.154901959985743
CHEMBL5853767,CDK4,0.7,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CNCCO4)C5)ncc3F)cc2n1C(C)C,9.154901959985743
CHEMBL5762122,CDK4,0.7,nM,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5c(c4)N(C(C)C)CCO5)n3)nc2)CC1,9.154901959985743
CHEMBL5817708,CDK4,0.73,nM,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc(CN6CCN(C(=O)CO)CC6)cn5)ncc4F)cc3n21,9.136677139879545
CHEMBL3698681,CDK6,0.75,nM,c1ccc2c(c1)c1cnc(Nc3ccc(N4CCNCC4)cc3)nc1n2C1CCOCC1,9.1249387366083
CHEMBL4088242,CDK2,0.8,nM,CC[C@@H](C)Oc1nc(Nc2ccc(S(N)(=O)=O)cc2)nc(N)c1C=O,9.096910013008056
