molecule_chembl_id,kinase,IC50,units,canonical_smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL3694408,CDK9,0.005,nM,COc1ccc(F)cc1-c1cc(NC(=O)COc2ccc(Cl)cn2)ncn1,11.30102999566398,388.0738462080001,6,1,3.3572000000000015,True
CHEMBL334285,CDK4,0.007,nM,O=C(Nc1cccc2c1C(=O)c1c(-c3ccc(C(=O)N4CCNCC4)s3)n[nH]c1-2)NN1CCOCC1,11.154901959985745,507.1688732800001,8,4,1.7637000000000003,True
CHEMBL3694406,CDK9,0.015,nM,COc1ccc(F)cc1-c1cc(NC(=O)Cc2cccnc2)ncn1,10.82390874094432,338.11790394000013,5,1,2.8675000000000006,True
CHEMBL3694400,CDK9,0.018,nM,COc1ccc(F)cc1-c1cc(NC(=O)C2CCCNC2)ncn1,10.744727494896694,330.1492040680001,5,2,2.2294,True
CHEMBL3694402,CDK9,0.019,nM,COc1ccccc1-c1cc(NC(=O)C2CCC(=O)NC2)ncn1,10.721246399047171,326.1378904360001,5,2,1.6168999999999996,True
CHEMBL151546,CDK4,0.026,nM,NC(=O)Nc1cccc2c1C(=O)c1c(-c3csc(Cl)c3)n[nH]c1-2,10.585026652029182,344.01347420800005,4,3,3.4936000000000016,True
CHEMBL3694407,CDK9,0.029,nM,COc1ccc(F)cc1-c1cc(NC(=O)Cc2ccncc2)ncn1,10.537602002101044,338.1179039400001,5,1,2.8675000000000006,True
CHEMBL3694401,CDK9,0.039,nM,COc1cccc(F)c1-c1cc(NC(=O)C2CCCNC2)ncn1,10.4089353929735,330.1492040680001,5,2,2.2294,True
CHEMBL5841163,CDK4,0.07,nM,CCN1CCN(c2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,10.154901959985745,504.2561494000001,7,1,4.733300000000003,True
CHEMBL6170958,CDK9,0.077,nM,CCOc1ccc(/C=C2/C(=O)N(c3ccc(Cl)cc3)N=C2C)cc1,10.113509274827518,340.097855464,3,0,4.544800000000004,True
CHEMBL148580,CDK4,0.08,nM,COc1ccc(-c2[nH]nc3c2C(=O)c2c(NC(=O)CN4CCN(C(=N)N)CC4)cccc2-3)cc1,10.096910013008056,459.2018876600001,6,4,1.7462699999999998,True
CHEMBL194540,CDK1,0.1,nM,NS(=O)(=O)c1ccc(Nc2ncc(C(F)(F)F)c(Nc3ccc4[nH]cnc4c3)n2)cc1,10.0,449.0881783480001,7,4,3.5063000000000004,True
CHEMBL5762122,CDK6,0.1,nM,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5c(c4)N(C(C)C)CCO5)n3)nc2)CC1,10.0,509.27146511600006,8,1,4.305100000000004,True
CHEMBL3694404,CDK9,0.116,nM,COc1ccccc1-c1cc(NC(=O)c2ccc(C)c(NS(C)(=O)=O)c2)ncn1,9.935542010773082,412.12052612,6,2,3.0844200000000006,True
CHEMBL5748748,CDK4,0.12,nM,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc6c(n5)CCN(C(=O)CO)C6)ncc4F)cc3n21,9.920818753952377,505.2037794800001,7,2,3.4684000000000017,True
CHEMBL3698644,CDK4,0.13,nM,c1cc2c3cnc(Nc4cnc(N5CCNCC5)nc4)nc3n(C3CCCC3)c2cn1,9.886056647693165,415.2232918000001,8,2,3.0378000000000016,True
CHEMBL5786556,CDK4,0.18,nM,CN(C)[C@H]1CCN(c2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)C1,9.744727494896694,504.2561494000001,7,1,4.731700000000004,True
CHEMBL5939038,CDK4,0.2,nM,CN(C)[C@H]1CCN(C(=O)c2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)C1,9.69897000433602,532.2510640200002,7,1,4.367500000000002,True
CHEMBL5751717,CDK6,0.2,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCNCC5)cn4)ncc3F)cc21,9.69897000433602,467.2245149240001,8,2,3.577200000000002,True
CHEMBL4453997,CDK4,0.2,nM,COc1ccc(-c2n[nH]c3c2C(=O)c2c(C=O)cccc2-3)cc1,9.69897000433602,304.084792244,4,1,3.1092000000000013,True
CHEMBL5751717,CDK4,0.2,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCNCC5)cn4)ncc3F)cc21,9.69897000433602,467.2245149240001,8,2,3.577200000000002,True
CHEMBL5915046,CDK4,0.25,nM,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc(OC6CCN(CCO)CC6)cn5)ncc4F)cc3n21,9.602059991327964,535.250729672,8,2,4.426900000000003,True
CHEMBL526110,CDK4,0.3,nM,O=[N+]([O-])c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,9.522878745280336,333.09742259200004,7,1,2.8381000000000007,True
CHEMBL5882717,CDK6,0.3,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C(=O)CN(C)C)CC5)cn4)ncc3F)cc21,9.522878745280336,551.2820298,8,1,4.435200000000004,True
CHEMBL526110,CDK2,0.3,nM,O=[N+]([O-])c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,9.522878745280336,333.09742259200004,7,1,2.8381000000000007,True
