molecule_chembl_id,kinase,IC50,units,canonical_smiles,pIC50,ro5_fulfilled,ROMol
CHEMBL3694408,CDK9,0.005,nM,COc1ccc(F)cc1-c1cc(NC(=O)COc2ccc(Cl)cn2)ncn1,11.30102999566398,True,<rdkit.Chem.rdchem.Mol object at 0x735c78f67f40>
CHEMBL334285,CDK4,0.007,nM,O=C(Nc1cccc2c1C(=O)c1c(-c3ccc(C(=O)N4CCNCC4)s3)n[nH]c1-2)NN1CCOCC1,11.154901959985745,True,<rdkit.Chem.rdchem.Mol object at 0x735c78f67b50>
CHEMBL3694406,CDK9,0.015,nM,COc1ccc(F)cc1-c1cc(NC(=O)Cc2cccnc2)ncn1,10.82390874094432,True,<rdkit.Chem.rdchem.Mol object at 0x735c78f67530>
CHEMBL3694400,CDK9,0.018,nM,COc1ccc(F)cc1-c1cc(NC(=O)C2CCCNC2)ncn1,10.744727494896694,True,<rdkit.Chem.rdchem.Mol object at 0x735c78f642e0>
CHEMBL3694402,CDK9,0.019,nM,COc1ccccc1-c1cc(NC(=O)C2CCC(=O)NC2)ncn1,10.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x735c78f67e60>
CHEMBL151546,CDK4,0.026,nM,NC(=O)Nc1cccc2c1C(=O)c1c(-c3csc(Cl)c3)n[nH]c1-2,10.585026652029182,True,<rdkit.Chem.rdchem.Mol object at 0x735c78f67c30>
CHEMBL3694407,CDK9,0.029,nM,COc1ccc(F)cc1-c1cc(NC(=O)Cc2ccncc2)ncn1,10.537602002101044,True,<rdkit.Chem.rdchem.Mol object at 0x735c78f64510>
CHEMBL3694401,CDK9,0.039,nM,COc1cccc(F)c1-c1cc(NC(=O)C2CCCNC2)ncn1,10.4089353929735,True,<rdkit.Chem.rdchem.Mol object at 0x735c78f64270>
CHEMBL5841163,CDK4,0.07,nM,CCN1CCN(c2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,10.154901959985745,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903c040>
CHEMBL148580,CDK4,0.08,nM,COc1ccc(-c2[nH]nc3c2C(=O)c2c(NC(=O)CN4CCN(C(=N)N)CC4)cccc2-3)cc1,10.096910013008056,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903ceb0>
CHEMBL194540,CDK1,0.1,nM,NS(=O)(=O)c1ccc(Nc2ncc(C(F)(F)F)c(Nc3ccc4[nH]cnc4c3)n2)cc1,10.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903dee0>
CHEMBL5762122,CDK6,0.1,nM,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5c(c4)N(C(C)C)CCO5)n3)nc2)CC1,10.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903d0e0>
CHEMBL3694404,CDK9,0.116,nM,COc1ccccc1-c1cc(NC(=O)c2ccc(C)c(NS(C)(=O)=O)c2)ncn1,9.935542010773082,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903d150>
CHEMBL5748748,CDK4,0.12,nM,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc6c(n5)CCN(C(=O)CO)C6)ncc4F)cc3n21,9.920818753952377,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903d2a0>
CHEMBL3698644,CDK4,0.13,nM,c1cc2c3cnc(Nc4cnc(N5CCNCC5)nc4)nc3n(C3CCCC3)c2cn1,9.886056647693165,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903d3f0>
CHEMBL5786556,CDK4,0.18,nM,CN(C)[C@H]1CCN(c2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)C1,9.744727494896694,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903d9a0>
CHEMBL5939038,CDK4,0.2,nM,CN(C)[C@H]1CCN(C(=O)c2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)C1,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903db60>
CHEMBL5751717,CDK6,0.2,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCNCC5)cn4)ncc3F)cc21,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903dbd0>
CHEMBL4453997,CDK4,0.2,nM,COc1ccc(-c2n[nH]c3c2C(=O)c2c(C=O)cccc2-3)cc1,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903dfc0>
CHEMBL5751717,CDK4,0.2,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCNCC5)cn4)ncc3F)cc21,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903f1b0>
CHEMBL5915046,CDK4,0.25,nM,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc(OC6CCN(CCO)CC6)cn5)ncc4F)cc3n21,9.602059991327964,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903f300>
CHEMBL526110,CDK4,0.3,nM,O=[N+]([O-])c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,9.522878745280336,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903f530>
CHEMBL5882717,CDK6,0.3,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C(=O)CN(C)C)CC5)cn4)ncc3F)cc21,9.522878745280336,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903fa00>
CHEMBL526110,CDK2,0.3,nM,O=[N+]([O-])c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,9.522878745280336,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903fd10>
CHEMBL317703,CDK2,0.33,nM,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc([N+](=O)[O-])cc3)[nH]n2)cc1,9.481486060122112,True,<rdkit.Chem.rdchem.Mol object at 0x735c79194970>
CHEMBL321517,CDK2,0.34,nM,Nc1ccc(-c2cc(Nc3ccc(S(N)(=O)=O)cc3)[nH]n2)cc1,9.468521082957745,True,<rdkit.Chem.rdchem.Mol object at 0x735c791945f0>
CHEMBL4777844,CDK9,0.495,nM,CN(C)C/C=C/C(=O)N1CCC(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)CC1,9.30539480106643,True,<rdkit.Chem.rdchem.Mol object at 0x735c79197d80>
CHEMBL5758578,CDK4,0.5,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C(=O)N5CCC(O)CC5)c(F)c4)ncc3F)cc21,9.30102999566398,True,<rdkit.Chem.rdchem.Mol object at 0x735c79197d10>
CHEMBL5865305,CDK4,0.5,nM,CC(=O)N1CCN(c2ccc(Nc3ncc(F)c(-c4cc(F)c5c(c4)N(C(C)C)CCO5)n3)nc2)CC1,9.30102999566398,True,<rdkit.Chem.rdchem.Mol object at 0x735c79197c30>
CHEMBL5882717,CDK4,0.5,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C(=O)CN(C)C)CC5)cn4)ncc3F)cc21,9.30102999566398,True,<rdkit.Chem.rdchem.Mol object at 0x735c79197140>
CHEMBL1964259,CDK2,0.54,nM,O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc(S(=O)(=O)NCCOCCO)cc1,9.267606240177033,True,<rdkit.Chem.rdchem.Mol object at 0x735c79197990>
CHEMBL4209329,CDK4,0.6,nM,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc(CN6CCNCC6)cn5)ncc4F)cc3n21,9.221848749616356,True,<rdkit.Chem.rdchem.Mol object at 0x735c79197920>
CHEMBL4211828,CDK4,0.6,nM,CC(C)N1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)CC6)n3)nc2)CC1,9.221848749616356,True,<rdkit.Chem.rdchem.Mol object at 0x735c79197840>
