molecule_chembl_id,kinase,IC50,units,canonical_smiles,pIC50,ro5_fulfilled,ROMol,has_brenk
CHEMBL3694408,CDK9,0.005,nM,COc1ccc(F)cc1-c1cc(NC(=O)COc2ccc(Cl)cn2)ncn1,11.30102999566398,True,<rdkit.Chem.rdchem.Mol object at 0x735c78f67f40>,False
CHEMBL334285,CDK4,0.007,nM,O=C(Nc1cccc2c1C(=O)c1c(-c3ccc(C(=O)N4CCNCC4)s3)n[nH]c1-2)NN1CCOCC1,11.154901959985745,True,<rdkit.Chem.rdchem.Mol object at 0x735c78f67b50>,False
CHEMBL3694406,CDK9,0.015,nM,COc1ccc(F)cc1-c1cc(NC(=O)Cc2cccnc2)ncn1,10.82390874094432,True,<rdkit.Chem.rdchem.Mol object at 0x735c78f67530>,False
CHEMBL3694400,CDK9,0.018,nM,COc1ccc(F)cc1-c1cc(NC(=O)C2CCCNC2)ncn1,10.744727494896694,True,<rdkit.Chem.rdchem.Mol object at 0x735c78f642e0>,False
CHEMBL3694402,CDK9,0.019,nM,COc1ccccc1-c1cc(NC(=O)C2CCC(=O)NC2)ncn1,10.721246399047171,True,<rdkit.Chem.rdchem.Mol object at 0x735c78f67e60>,False
CHEMBL151546,CDK4,0.026,nM,NC(=O)Nc1cccc2c1C(=O)c1c(-c3csc(Cl)c3)n[nH]c1-2,10.585026652029182,True,<rdkit.Chem.rdchem.Mol object at 0x735c78f67c30>,False
CHEMBL3694407,CDK9,0.029,nM,COc1ccc(F)cc1-c1cc(NC(=O)Cc2ccncc2)ncn1,10.537602002101044,True,<rdkit.Chem.rdchem.Mol object at 0x735c78f64510>,False
CHEMBL3694401,CDK9,0.039,nM,COc1cccc(F)c1-c1cc(NC(=O)C2CCCNC2)ncn1,10.4089353929735,True,<rdkit.Chem.rdchem.Mol object at 0x735c78f64270>,False
CHEMBL5841163,CDK4,0.07,nM,CCN1CCN(c2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,10.154901959985745,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903c040>,False
CHEMBL194540,CDK1,0.1,nM,NS(=O)(=O)c1ccc(Nc2ncc(C(F)(F)F)c(Nc3ccc4[nH]cnc4c3)n2)cc1,10.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903dee0>,False
CHEMBL5762122,CDK6,0.1,nM,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5c(c4)N(C(C)C)CCO5)n3)nc2)CC1,10.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903d0e0>,False
CHEMBL3694404,CDK9,0.116,nM,COc1ccccc1-c1cc(NC(=O)c2ccc(C)c(NS(C)(=O)=O)c2)ncn1,9.935542010773082,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903d150>,False
CHEMBL5748748,CDK4,0.12,nM,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc6c(n5)CCN(C(=O)CO)C6)ncc4F)cc3n21,9.920818753952377,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903d2a0>,False
CHEMBL3698644,CDK4,0.13,nM,c1cc2c3cnc(Nc4cnc(N5CCNCC5)nc4)nc3n(C3CCCC3)c2cn1,9.886056647693165,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903d3f0>,False
CHEMBL5786556,CDK4,0.18,nM,CN(C)[C@H]1CCN(c2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)C1,9.744727494896694,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903d9a0>,False
CHEMBL5939038,CDK4,0.2,nM,CN(C)[C@H]1CCN(C(=O)c2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)C1,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903db60>,False
CHEMBL5751717,CDK6,0.2,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCNCC5)cn4)ncc3F)cc21,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903dbd0>,False
CHEMBL5751717,CDK4,0.2,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCNCC5)cn4)ncc3F)cc21,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903f1b0>,False
CHEMBL5915046,CDK4,0.25,nM,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc(OC6CCN(CCO)CC6)cn5)ncc4F)cc3n21,9.602059991327964,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903f300>,False
CHEMBL5882717,CDK6,0.3,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C(=O)CN(C)C)CC5)cn4)ncc3F)cc21,9.522878745280336,True,<rdkit.Chem.rdchem.Mol object at 0x735c7903fa00>,False
CHEMBL5758578,CDK4,0.5,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C(=O)N5CCC(O)CC5)c(F)c4)ncc3F)cc21,9.30102999566398,True,<rdkit.Chem.rdchem.Mol object at 0x735c79197d10>,False
CHEMBL5865305,CDK4,0.5,nM,CC(=O)N1CCN(c2ccc(Nc3ncc(F)c(-c4cc(F)c5c(c4)N(C(C)C)CCO5)n3)nc2)CC1,9.30102999566398,True,<rdkit.Chem.rdchem.Mol object at 0x735c79197c30>,False
CHEMBL5882717,CDK4,0.5,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C(=O)CN(C)C)CC5)cn4)ncc3F)cc21,9.30102999566398,True,<rdkit.Chem.rdchem.Mol object at 0x735c79197140>,False
CHEMBL4209329,CDK4,0.6,nM,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc(CN6CCNCC6)cn5)ncc4F)cc3n21,9.221848749616356,True,<rdkit.Chem.rdchem.Mol object at 0x735c79197920>,False
CHEMBL4211828,CDK4,0.6,nM,CC(C)N1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)CC6)n3)nc2)CC1,9.221848749616356,True,<rdkit.Chem.rdchem.Mol object at 0x735c79197840>,False
CHEMBL5892046,CDK6,0.6,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCN(C(=O)CN(C)C)CC5)cn4)ncc3F)cc21,9.221848749616356,True,<rdkit.Chem.rdchem.Mol object at 0x735c791977d0>,False
CHEMBL5811976,CDK4,0.7,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CNCCO4)C5)ncc3F)cc2n1C(C)(C)C,9.154901959985745,True,<rdkit.Chem.rdchem.Mol object at 0x735c79197760>,False
CHEMBL248713,CDK1,0.7,nM,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(F)ccc5[nH]4)c3c2)c1,9.154901959985745,True,<rdkit.Chem.rdchem.Mol object at 0x735c79197680>,False
CHEMBL5853767,CDK4,0.7,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CNCCO4)C5)ncc3F)cc2n1C(C)C,9.154901959985745,True,<rdkit.Chem.rdchem.Mol object at 0x735c791975a0>,False
CHEMBL5762122,CDK4,0.7,nM,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5c(c4)N(C(C)C)CCO5)n3)nc2)CC1,9.154901959985745,True,<rdkit.Chem.rdchem.Mol object at 0x735c79197530>,False
CHEMBL5817708,CDK4,0.73,nM,CC1(C)CCc2nc3c(F)cc(-c4nc(Nc5ccc(CN6CCN(C(=O)CO)CC6)cn5)ncc4F)cc3n21,9.136677139879543,True,<rdkit.Chem.rdchem.Mol object at 0x735c791973e0>,False
CHEMBL4215702,CDK4,0.8,nM,CN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,9.096910013008056,True,<rdkit.Chem.rdchem.Mol object at 0x735c791970d0>,False
CHEMBL6008170,CDK4,0.8,nM,CS(=O)(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,9.096910013008056,True,<rdkit.Chem.rdchem.Mol object at 0x735c79196ff0>,False
CHEMBL429478,CDK1,0.8,nM,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(OC)ccc5[nH]4)c3c2)c1,9.096910013008056,True,<rdkit.Chem.rdchem.Mol object at 0x735c79196ea0>,False
CHEMBL561334,CDK1,0.8,nM,C[C@@H]1CNc2c(sc3ccc4ncccc4c23)C(=O)N1,9.096910013008056,True,<rdkit.Chem.rdchem.Mol object at 0x735c79196b90>,False
CHEMBL5964401,CDK4,0.86,nM,CCC(CC)n1c(C)nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc21,9.065501548756432,True,<rdkit.Chem.rdchem.Mol object at 0x735c791966c0>,False
CHEMBL5841163,CDK6,0.88,nM,CCN1CCN(c2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,9.05551732784983,True,<rdkit.Chem.rdchem.Mol object at 0x735c79196ab0>,False
CHEMBL194721,CDK1,0.9,nM,FC(F)(F)c1cnc(Nc2ccc3[nH]cnc3c2)nc1Nc1ccccc1Cl,9.045757490560677,True,<rdkit.Chem.rdchem.Mol object at 0x735c79196a40>,False
CHEMBL4208172,CDK6,0.9,nM,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,9.045757490560677,True,<rdkit.Chem.rdchem.Mol object at 0x735c791969d0>,False
CHEMBL3698641,CDK4,0.91,nM,Cc1cc(Nc2ncc3c4ccncc4n(C4CCCC4)c3n2)cnc1N1CCNCC1,9.040958607678906,True,<rdkit.Chem.rdchem.Mol object at 0x735c79196960>,False
CHEMBL4542247,CDK4,0.91,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C1(C)CC1,9.040958607678906,True,<rdkit.Chem.rdchem.Mol object at 0x735c79196880>,False
CHEMBL5886747,CDK4,0.92,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C1(C)CC1,9.036212172654444,True,<rdkit.Chem.rdchem.Mol object at 0x735c791967a0>,False
CHEMBL5925248,CDK4,0.94,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@H](C)N(C)C)C5)ncc3F)cc2n1C1CC1,9.0268721464003,True,<rdkit.Chem.rdchem.Mol object at 0x735c791965e0>,False
CHEMBL3698659,CDK4,0.94,nM,c1cc2c3cnc(Nc4ccc(N5CCNCC5)cn4)nc3n(C3CC4CCC3C4)c2cn1,9.0268721464003,True,<rdkit.Chem.rdchem.Mol object at 0x735c79196570>,False
CHEMBL5869281,CDK4,0.96,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@H]4CN(C)CCO4)C5)ncc3F)cc2n1C(C)(C)C,9.017728766960431,True,<rdkit.Chem.rdchem.Mol object at 0x735c79196500>,False
CHEMBL3698688,CDK4,0.97,nM,CN(C)C1CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)cn2)CC1,9.013228265733757,True,<rdkit.Chem.rdchem.Mol object at 0x735c79196490>,False
CHEMBL5830076,CDK4,0.99,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CCN(C)C)C5)ncc3F)cc2n1C(C)(C)C,9.00436480540245,True,<rdkit.Chem.rdchem.Mol object at 0x735c79196420>,False
CHEMBL6059314,CDK6,1.0,nM,CC(C)N1CCc2ccc(Nc3ncc(F)c(-c4cc(F)c5c(c4)N(C(C)C)CCO5)n3)cc2C1,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c79196340>,False
CHEMBL215803,CDK1,1.0,nM,C[C@@H]1C[C@H]2CN1CCn1nc3c(cccc3c1O)-c1nc3c(cccc3nc1O)O2,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c79196180>,False
CHEMBL3642037,CDK4,1.0,nM,CN(C)[C@@H]1CN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nn2)CC[C@H]1O,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c79196110>,False
CHEMBL5825661,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCNCC5=O)cn4)ncc3F)cc21,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c79196030>,False
CHEMBL5996434,CDK6,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc5c(c4)CNCC5)ncc3F)cc21,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c79195fc0>,False
CHEMBL4462530,CDK2,1.0,nM,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)C4)c(Cl)cn2)C1,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c79195f50>,False
CHEMBL4205645,CDK4,1.0,nM,CCN1CCN(Cc2ccc(Nc3nccc(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)CC1,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c79195e70>,False
CHEMBL3904602,CDK4,1.0,nM,CC(C)N1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c79195d90>,False
CHEMBL3545083,CDK9,1.0,nM,COCCN1CCN(Cc2ccc(-c3n[nH]c4c3C(=O)c3c(NC(=O)NN5CCOCC5)cccc3-4)cc2)CC1,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c79195cb0>,False
CHEMBL3702053,CDK4,1.0,nM,CCN(CC)C1CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nn2)CC1,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c79195c40>,False
CHEMBL5999532,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C)C5)cn4)ncc3F)cc21,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c79195bd0>,False
CHEMBL5742108,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc21,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c79194660>,False
CHEMBL5892046,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCN(C(=O)CN(C)C)CC5)cn4)ncc3F)cc21,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c79195af0>,False
CHEMBL6015264,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(CN5CCN(CC6CC6)CC5)cn4)ncc3F)cc21,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c79195700>,False
CHEMBL3698649,CDK4,1.0,nM,CN(C)C1CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nn2)CC1,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c79195540>,False
CHEMBL509406,CDK2,1.0,nM,Cc1ncc(-c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)c(F)c3)ncc2F)n1C(C)C,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c79195460>,False
CHEMBL1171950,CDK2,1.0,nM,NCCCn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3)ncc1CC2,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c79195380>,False
CHEMBL6048798,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCNCC5)c(F)c4F)ncc3F)cc21,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c79195310>,False
CHEMBL3702122,CDK4,1.0,nM,O=C(O)CN1CCN(Cc2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nc2)CC1,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c791952a0>,False
CHEMBL559513,CDK2,1.0,nM,CN1CCN(c2cccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1,9.0,True,<rdkit.Chem.rdchem.Mol object at 0x735c79195230>,False
